,info,infoHeilights,course,yearlyPkgAvg,rank,cutoff
"Vel's Institute of Science Technology and Advanced Studies, Chennai","Vels University was developed under the Vaels Educational Trust in 1992. Vels Group of Institutions got the status of an University by the Ministry of Human Resource Development, Government of India. The University is approved by the All India Council for Technical Education (AICTE) and University Grants Commission (UGC). The University also provides various academic and infrastructural facilities to the students and faculty members including laboratories, library, hostels, administrative blocks, auditorium, seminar halls, classrooms, transportation, sports and games facilities etc. Vels University has also formed many student organisations and clubs to provide a platform to the students of the University to showcase and develop their talents and interests.",,"{'BA LLB Hons': {'duration': '5 Years', 'fees': '7.64 Lakhs'}, 'B.Com LLB': {'duration': '5 Years', 'fees': '7.64 Lakhs'}, 'BBA LLB': {'duration': '5 Years', 'fees': '7.64 Lakhs'}, 'BE Computer Science and Engineering': {'duration': '4 Years', 'fees': '4.19 Lakhs'}, 'BE Mechanical Engineering': {'duration': '4 Years', 'fees': '3.79 Lakhs'}, 'B.Pharma': {'duration': '4 Years', 'fees': '6.88 Lakhs'}, 'B.Tech Biotechnology Engineering': {'duration': '4 Years', 'fees': '3.79 Lakhs'}, 'BE Civil Engineering': {'duration': '4 Years', 'fees': '2.79 Lakhs'}, 'BE Electronics and Communication Engineering': {'duration': '4 Years', 'fees': '3.39 Lakhs'}, 'Diploma in Hotel Management': {'duration': '3 Years', 'fees': '2.22 Lakhs'}, 'MBA Business Analytics in Association with IBM': {'duration': '2 Years', 'fees': '4.38 Lakhs'}, 'MBA Logistics and Shipping Management': {'duration': '2 Years', 'fees': '3.53 Lakhs'}, 'MBA Logistics and Supply Chain Management': {'duration': '2 Years', 'fees': '3.38 Lakhs'}, 'B.Tech Information Technology with Specialization in Mobile and Cloud Based Application in Association with IBM': {'duration': '4 Years', 'fees': '5.59 Lakhs'}, 'B.Tech Naval Architecture and Offshore Engineering': {'duration': '4 Years', 'fees': '4.19 Lakhs'}, 'B.Tech Petroleum Engineering': {'duration': '4 Years', 'fees': '4.79 Lakhs'}, 'BE Automobile Engineering': {'duration': '4 Years', 'fees': '3.19 Lakhs'}, 'BE Biomedical Engineering': {'duration': '4 Years', 'fees': '3.79 Lakhs'}, 'BE Electrical and Electronics Engineering': {'duration': '4 Years', 'fees': '2.79 Lakhs'}, 'MBA Integrated': {'duration': '5 Years', 'fees': '4.96 Lakhs'}, 'ME Construction Engineering and Management': {'duration': '2 Years', 'fees': '1.28 Lakhs'}, 'Pharm.D': {'duration': '6 Years', 'fees': '20.54 Lakhs'}, 'ME Automobile Engineering': {'duration': '2 Years', 'fees': '1.28 Lakhs'}, 'ME Computer Integrated Manufacturing': {'duration': '2 Years', 'fees': '1.28 Lakhs'}, 'ME Computer Science and Engineering': {'duration': '2 Years', 'fees': '1.28 Lakhs'}, 'M.Pharma Pharmaceutics': {'duration': '2 Years', 'fees': '1.44 Lakhs'}, 'M.Pharma Pharmacy Practice': {'duration': '2 Years', 'fees': '1.24 Lakhs'}, 'Pharm.D Post Baccalaureate': {'duration': '3 Years', 'fees': '6.89 Lakhs'}, 'M.Pharma Pharmaceutical Analysis': {'duration': '2 Years', 'fees': '1.44 Lakhs'}, 'Advanced Diploma in Marine Engineering': {'duration': None, 'fees': None}}","{'averagePackage': {'Pharm.D': {'2019': '330000', '2018': '300000', '2017': '276000'}, 'B.Pharma': {'2019': '301000', '2018': '156000', '2017': '264000'}, 'M.Pharma': {'2019': '310000', '2018': '300000', '2017': '276000'}, 'M.B.A': {'2019': '600000', '2018': '600000', '2017': '241000'}, 'B.E /B.Tech': {'2019': '283000', '2018': '273430', '2017': '240000'}, 'M.E /M.Tech.': {'2019': '360000', '2018': '350000', '2017': '240000'}, 'M.C.A.': {'2019': '310000', '2018': '300000'}}, 'topRecruiters': {0: 'Amazon', 1: 'ZOHO Corp', 2: 'MK Auto Components', 3: 'IBM Technologies', 4: 'Rane India Pvt Ltd', 5: 'Flextronics', 6: 'Amazee Homes', 7: 'Big Bazaar', 8: 'Leap International', 9: 'HSBC', 10: 'Kotak Mahindra Bank', 11: 'SM Logistics', 12: 'Marcura Shipping', 13: 'Redington Gulf FZF', 14: 'Cognizant Technology Solutions', 15: 'Infosys', 16: 'Wipro', 17: 'Accenture', 18: 'Capgemini', 19: 'Bombay Stock Exchange', 20: 'Paytm', 21: 'Apollo Hospital', 22: 'Sanmar Groups', 23: 'Scope International', 24: 'AGS Healthcare System', 25: 'Vee Technologies', 26: 'SKN Organics', 27: 'Domex e-Data', 28: 'Apollo Pharmacy', 29: 'Billroth Hospital', 30: 'Lister Metropolis', 31: 'Episource', 32: 'Wockhardt', 33: 'Abbott Laboratories', 34: 'Annexmed'}}",{},
"Koneru Lakshmaiah Education Foundation, Guntur","Koneru Lakshmaiah Education Foundation Guntur was established as a trust in the year 1980 under the UGC Act 1956 and attained autonomous status in the year 2006 and in February 2009. This university is recognised as a Deemed to be University. The institute is spread over 50 acres of land. Koneru Lakshmaiah Education Foundation (KLEF) offers UG, PG and Ph.D courses to the students.",,"{'B.Tech Computer Science and Engineering': {'duration': '4 Years', 'fees': '11.10 Lakhs'}, 'B.Tech Electronics and Communication Engineering': {'duration': '4 Years', 'fees': '10.10 Lakhs'}, 'B.Tech Mechanical Engineering': {'duration': '4 Years', 'fees': None}, 'B.Tech Artificial Intelligence and Data Science': {'duration': '4 Years', 'fees': '10.55 Lakhs'}, 'B.Tech Biotechnology': {'duration': '4 Years', 'fees': '8.75 Lakhs'}, 'B.Tech Computer Science and Information Technology': {'duration': '4 Years', 'fees': '10.15 Lakhs'}, 'B.Tech Electronics and Computer Engineering': {'duration': '4 Years', 'fees': '10.15 Lakhs'}, 'BBA LLB Integrated': {'duration': '5 Years', 'fees': '5 Lakhs'}, 'MBA': {'duration': '2 Years', 'fees': '5.10 Lakhs'}, 'B.Des': {'duration': '4 Years', 'fees': '8.95 Lakhs'}, 'B.Pharma': {'duration': '4 Years', 'fees': None}, 'B.Tech Civil Engineering': {'duration': '4 Years', 'fees': '8.75 Lakhs'}, 'B.Tech Electrical and Electronics Engineering': {'duration': '4 Years', 'fees': '8.75 Lakhs'}, 'BFA Applied Arts and Crafts': {'duration': '4 Years', 'fees': '4.95 Lakhs'}, 'LLB': {'duration': '3 Years', 'fees': '2.40 Lakhs'}, 'M.Tech Structural Engineering': {'duration': '2 Years', 'fees': '2.55 Lakhs'}, 'B.Arch': {'duration': '5 Years', 'fees': '11.50 Lakhs'}, 'M.Tech Computer Science and Engineering': {'duration': '2 Years', 'fees': '2.95 Lakhs'}, 'M.Tech Cyber Security and Digital Forensic': {'duration': '2 Years', 'fees': '2.95 Lakhs'}, 'M.Tech Construction Technology and Management': {'duration': '2 Years', 'fees': '2.95 Lakhs'}, 'LLM': {'duration': '2 Years', 'fees': '1.20 Lakhs'}, 'M.Tech Biotechnology': {'duration': '2 Years', 'fees': '2.55 Lakhs'}, 'M.Tech Geotechnical Engineering': {'duration': '2 Years', 'fees': '2.55 Lakhs'}, 'M.Tech Machine Design': {'duration': '2 Years', 'fees': '2.55 Lakhs'}, 'M.Tech Machine Learning and Computing': {'duration': '2 Years', 'fees': '2.55 Lakhs'}, 'M.Tech Power Electronics and Drives': {'duration': '2 Years', 'fees': '2.55 Lakhs'}, 'M.Tech Power Systems': {'duration': '2 Years', 'fees': '2.55 Lakhs'}}","{'averagePackage': {'B.E /B.Tech': {'2019': '350000', '2018': '320000', '2017': '355000'}, 'M.E /M.Tech.': {'2019': '450000', '2018': '360000', '2017': '350000'}, 'M.B.A': {'2019': '420000', '2018': '325000', '2017': '261500'}}, 'topRecruiters': {}}",{},
"Jawaharlal Nehru Technological University, Hyderabad","Jawaharlal Nehru Technological University, Hyderabad (JNTUH) was established on October 2, 1972 by the Legislature of the State of Andhra Pradesh. The University is spread over 89 acres of land. It has four Constituent Engineering Colleges at Hyderabad, Kondagattu (Jagityal), Manthani and Sultanpur (Medak Dist.) and 15 other constituent units on the Hyderabad campus. JNTUH University courses include in different domains such as engineering & technology, physical and social sciences by teaching, research and experimentation or practical training.",,"{'B.Tech Computer Science and Engineering': {'duration': '4 Years', 'fees': '2.55 Lakhs'}, 'B.Tech Electronics and Communication Engineering': {'duration': '4 Years', 'fees': '5.13 Lakhs'}, 'MBA': {'duration': '2 Years', 'fees': None}, 'B.Tech Computer Science Engineering': {'duration': '4 Years', 'fees': '5.01 Lakhs'}, 'B.Tech Mechanical Engineering': {'duration': '4 Years', 'fees': '3.12 Lakhs'}}","{'averagePackage': {'B.E /B.Tech': {'2019': '375000', '2018': '498000', '2017': '343000'}, 'M.E /M.Tech.': {'2019': '505000', '2018': '660000', '2017': '326000'}}, 'topRecruiters': {}}",{},
"Sambalpur University, Sambalpur","Sambalpur University was established on 1st January, 1967. The University was later shifted to the permanent campus named Jyoti Vihar at Burla in 1973. Sambalpur University is affiliated to 206 colleges. Sambalpur University Institute of Information Technology (SUIIT) is also a part of the Sambalpur University which is located inside the same campus which was established in 2010. The University was first established with only three departments in Science and four departments in Humanities but, currently the University runs twenty-two postgraduate departments inside the University campus. The University provides undergraduate, postgraduate, diploma and doctoral programmes related to different streams.",,"{'BA': {'duration': '3 Years', 'fees': None}, 'BA Anthropology Hons': {'duration': '3 Years', 'fees': '10.41 K'}, 'BA English': {'duration': '3 Years', 'fees': None}, 'BA Modern Indian Language': {'duration': '3 Years', 'fees': None}, 'MBBS': {'duration': '5.5 Years', 'fees': '1.43 Lakhs'}, 'B.Com': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': '2.69 K'}, 'BA Economics': {'duration': '3 Years', 'fees': None}, 'BA Education': {'duration': '3 Years', 'fees': None}, 'BA History': {'duration': '3 Years', 'fees': None}, 'BA Oriya': {'duration': '3 Years', 'fees': None}, 'BA Philosophy': {'duration': '3 Years', 'fees': None}, 'BA Political Science': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {0: 'Aditya Birla Skill Foundation', 1: 'Axis Bank', 2: 'HDFC LIfe', 3: 'ICICI Prudential', 4: 'IFFCO Kisan', 5: 'OPPO', 6: 'Odyssey Motors', 7: 'PGL Agro', 8: 'Reliance Jio', 9: 'Royal Enfield', 10: 'TCS', 11: 'Tech Mahindra', 12: 'VLCC', 13: 'Vivo.', 14: 'Zomato'}}",{},
"CMJ University, Shillong",None,,"{'Advance Diploma in Industrial Safety Management': {'duration': None, 'fees': None}, 'B.Arch': {'duration': '5 Years', 'fees': '2.50 Lakhs'}, 'B.Com': {'duration': '3 Years', 'fees': None}, 'B.Com Cooperation': {'duration': '3 Years', 'fees': None}, 'B.Sc  Multimedia and Animation': {'duration': '3 Years', 'fees': None}, 'B.Sc Agriculture': {'duration': '4 Years', 'fees': None}, 'B.Sc Animation and VFX': {'duration': '3 Years', 'fees': '25.50 K'}, 'B.Sc Automobile': {'duration': '3 Years', 'fees': None}, 'B.Sc Ayurveda': {'duration': '2 Years', 'fees': None}, 'B.Sc Beauty and Spa Management': {'duration': '3 Years', 'fees': None}, 'B.Sc Biochemistry': {'duration': '3 Years', 'fees': None}, 'B.Sc Bioinformatics': {'duration': '3 Years', 'fees': None}, 'B.Sc Biology': {'duration': '3 Years', 'fees': None}, 'B.Sc Bioscience': {'duration': '3 Years', 'fees': None}, 'B.Sc Biotechnology': {'duration': '3 Years', 'fees': None}, 'B.Sc Botany': {'duration': '3 Years', 'fees': None}, 'B.Sc Chemistry': {'duration': '3 Years', 'fees': None}, 'B.Sc Clinical Optometry': {'duration': '4 Years', 'fees': '1.20 Lakhs'}, 'B.Sc Computer Science': {'duration': '3 Years', 'fees': None}, 'B.Sc Economics': {'duration': '3 Years', 'fees': None}, 'B.Sc Electronics': {'duration': '3 Years', 'fees': None}, 'B.Sc Environmental Science': {'duration': '3 Years', 'fees': None}, 'B.Sc Fashion Designing': {'duration': '3 Years', 'fees': None}, 'B.Sc Fire Safety Hazard Management': {'duration': '3 Years', 'fees': None}, 'B.Sc Footwear Technology': {'duration': '3 Years', 'fees': None}, 'B.Sc Gemology': {'duration': '3 Years', 'fees': None}, 'B.Sc Geography': {'duration': '3 Years', 'fees': None}, 'B.Sc Geology': {'duration': '3 Years', 'fees': None}, 'B.Sc Home Science': {'duration': '3 Years', 'fees': None}, 'B.Sc Homoeopathic Pharmacy': {'duration': '4 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Rajiv Gandhi University, Itanagar","Rajiv Gandhi University is a public university situated in the state of Arunachal University. The university was established on February 4, 1984, as Arunachal University. Spread across an area of 302 acres, the university is one of the oldest universities in the state. The Rajiv Gandhi University offers undergraduate, postgraduate M.Phil and PhD programmes in various courses.  The university has been recognised by the University Grants Commission.",,"{'BA': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': '10.38 K'}, 'B.Com': {'duration': '3 Years', 'fees': '1.07 Lakhs'}, 'B.Ed': {'duration': '2 Years', 'fees': None}, 'B.Sc-Chemistry, Botany and Zoology': {'duration': '3 Years', 'fees': None}, 'B.Sc-Physics, Chemistry and Mathematics': {'duration': '3 Years', 'fees': None}, 'MA History': {'duration': '2 Years', 'fees': '19.10 K'}, 'MA Political Science': {'duration': '2 Years', 'fees': '15.10 K'}, 'BA Anthropology Major': {'duration': '3 Years', 'fees': None}, 'BA Economics Major': {'duration': '3 Years', 'fees': None}, 'BA Education Major': {'duration': '3 Years', 'fees': None}, 'BA English Major': {'duration': '3 Years', 'fees': None}, 'BA Geography Major': {'duration': '3 Years', 'fees': None}, 'BA History Major': {'duration': '3 Years', 'fees': '1.01 Lakhs'}, 'BA Political Science Major': {'duration': '3 Years', 'fees': None}, 'MA Hindi': {'duration': '2 Years', 'fees': '15.10 K'}}","{'averagePackage': {'M.C.A.': {'2019': '307200', '2018': '300000', '2017': '276000'}}, 'topRecruiters': {}}",{},
"NIMS University, Jaipur","National Institute of Medical Science, Jaipur is a self-financed private university located in Jaipur. The university was established in 2008 by Balvir S. Tomar. NIMS university offers various courses related to medical, engineering and management studies also. The university is recognised by the University Grant Commission (UGC) and is approved by various other education councils including the Medical Council of India (MCI) and the Bar Council of India. ",,"{'MBBS': {'duration': '5.5 Years', 'fees': '76.50 Lakhs'}, 'BA LLB Integrated': {'duration': '5 Years', 'fees': '2.15 Lakhs'}, 'LLB': {'duration': '3 Years', 'fees': '1.30 Lakhs'}, 'B.Sc Nursing': {'duration': '4 Years', 'fees': '3.40 Lakhs'}, 'BDS': {'duration': '5 Years', 'fees': '7 Lakhs'}, 'B.Des Textile': {'duration': '4 Years', 'fees': '2 Lakhs'}, 'B.Optom': {'duration': '4 Years', 'fees': '2.60 Lakhs'}, 'B.Pharma': {'duration': '4 Years', 'fees': '4 Lakhs'}, 'B.Sc Biochemistry Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Biotechnology Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Blood Transfusion Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Botany Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Chemistry Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc EEG Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Emergency and Trauma Care Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Endoscopy Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Environmental Sciences Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Mathematics Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Medical Lab Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Microbiology Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Operation Theatre Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Perfusion Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Physics Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Radiation and Imaging Technology': {'duration': '3 Years', 'fees': '2.10 Lakhs'}, 'B.Sc Television and Film Production': {'duration': '4 Years', 'fees': '2.05 Lakhs'}, 'B.Sc TMT Technology': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'B.Sc Zoology Hons': {'duration': '3 Years', 'fees': None}, 'B.Tech Aerospace Engineering': {'duration': '4 Years', 'fees': '3.20 Lakhs'}, 'B.Tech Aerospace Engineering and MBA': {'duration': '5 Years', 'fees': '6.27 Lakhs'}, 'B.Tech Agricultural Engineering': {'duration': '4 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"The NorthCap University, Gurgaon","The NorthCap University (NCU), Gurgaon was founded by Educate India Society in the year 1996. It is formerly known as ITM University Gurugram. NCU is recognised by Bar Council of India (BCI) and approved by the University Grants Commission (UGC). The University offers undergraduate, postgraduate courses in engineering, management, sciences and law along with doctoral courses. In the year 2009-10, the Institute gained the status of State Private University.",,"{'B.Tech Computer Science and Engineering': {'duration': '4 Years', 'fees': '10.13 Lakhs'}, 'BBA': {'duration': '3 Years', 'fees': '5.41 Lakhs'}, 'B.Com Hons': {'duration': '3 Years', 'fees': '4.24 Lakhs'}, 'BBA LLB Hons': {'duration': '5 Years', 'fees': '8.46 Lakhs'}, 'BA Psychology Hons': {'duration': '3 Years', 'fees': '3.10 Lakhs'}, 'MBA': {'duration': '2 Years', 'fees': '6.73 Lakhs'}, 'MBA Business Analytics': {'duration': '2 Years', 'fees': '7.73 Lakhs'}, 'B.Tech Electronics and Communication Engineering': {'duration': '4 Years', 'fees': '10.13 Lakhs'}, 'B.Tech Mechanical Engineering': {'duration': '4 Years', 'fees': '10.13 Lakhs'}, 'BA Economics Hons': {'duration': '3 Years', 'fees': '3.10 Lakhs'}, 'B.Sc Chemistry Hons': {'duration': '3 Years', 'fees': '3.28 Lakhs'}, 'B.Sc Mathematics Hons': {'duration': '3 Years', 'fees': '3.16 Lakhs'}, 'B.Sc Physics Hons': {'duration': '3 Years', 'fees': '3.28 Lakhs'}, 'B.Tech Civil Engineering with Specialization in Infrastructure and Smart Cities': {'duration': '4 Years', 'fees': '10.13 Lakhs'}, 'LLM': {'duration': None, 'fees': '1.17 Lakhs'}, 'M.Sc Mathematics': {'duration': '2 Years', 'fees': '1.69 Lakhs'}, 'Ph.D Computer Science and Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D Electronics and Communication Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D Mechanical Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D Management': {'duration': '6 Years', 'fees': None}, 'Ph.D Civil Engineering': {'duration': '6 Years', 'fees': None}, 'Ph.D English': {'duration': '6 Years', 'fees': None}, 'B.Sc Mathematics with Specialization in Data Science': {'duration': '3 Years', 'fees': '4.21 Lakhs'}, 'BBA Business Analytics': {'duration': '3 Years', 'fees': '6.46 Lakhs'}, 'BBA Digital Marketing': {'duration': '3 Years', 'fees': '6.46 Lakhs'}, 'M.Tech Communication Engineering': {'duration': '2 Years', 'fees': '3.15 Lakhs'}, 'M.Tech Communication Engineering Part Time': {'duration': '3 Years', 'fees': '2.71 Lakhs'}, 'M.Tech Construction Engineering and Project Management': {'duration': '2 Years', 'fees': '3.15 Lakhs'}, 'M.Tech Construction Engineering and Project Management Part Time': {'duration': '3 Years', 'fees': '2.71 Lakhs'}, 'M.Tech Cyber Security and Forensics': {'duration': '2 Years', 'fees': '3.15 Lakhs'}}","{'averagePackage': {'B.E /B.Tech': {'2019': '360000', '2018': '350000', '2017': '380000'}, 'M.E /M.Tech.': {'2019': '425000', '2018': '450000', '2017': '460000'}}, 'topRecruiters': {0: 'Indigo', 1: 'Intel', 2: 'HSBC', 3: 'EY', 4: 'Sapient', 5: 'Ericsson', 6: 'Optum', 7: 'HDFC Bank', 8: 'TCS', 9: 'Deloitte', 10: 'Decimal', 11: 'Urban Clap'}}",{},
"Shoolini University of Biotechnology and Management Sciences, Solan","Shoolini University of Biotechnology and Management Sciences (SU), Solan is a private university established in the year 2009. The University is granted by University Grants Commission (UGC) and certified by ISO. Shoolini University offers undergraduate, postgraduate courses in biotechnology and management sciences along with doctoral courses.",,"{'MBA': {'duration': '2 Years', 'fees': '4.39 Lakhs'}, 'B.Tech Computer Science and Engineering': {'duration': '4 Years', 'fees': '6.06 Lakhs'}, 'B.Tech Biotechnology': {'duration': '4 Years', 'fees': '6.06 Lakhs'}, 'B.Com Hons': {'duration': '3 Years', 'fees': '2.45 Lakhs'}, 'B.Pharma': {'duration': '4 Years', 'fees': '4.66 Lakhs'}, 'BBA': {'duration': '3 Years', 'fees': '2.45 Lakhs'}, 'B.Sc Biotechnology Hons': {'duration': '3 Years', 'fees': '2.47 Lakhs'}, 'B.Tech Food Technology': {'duration': '4 Years', 'fees': '6.06 Lakhs'}, 'M.Sc Biotechnology': {'duration': '2 Years', 'fees': '2.14 Lakhs'}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': '1.93 Lakhs'}, 'B.Sc Agriculture Hons': {'duration': '4 Years', 'fees': '3.90 Lakhs'}, 'B.Sc Food Technology Hons': {'duration': '3 Years', 'fees': '2.47 Lakhs'}, 'B.Sc Hospitality and Hotel Administration': {'duration': '3 Years', 'fees': '3.45 Lakhs'}, 'B.Sc Microbiology Hons': {'duration': '3 Years', 'fees': '2.47 Lakhs'}, 'B.Sc Yoga': {'duration': '3 Years', 'fees': '1.77 Lakhs'}, 'B.Tech Civil Engineering': {'duration': '4 Years', 'fees': '5.57 Lakhs'}, 'B.Tech Mechanical Engineering': {'duration': '4 Years', 'fees': '5.57 Lakhs'}, 'BA Journalism and Mass Communication': {'duration': '3 Years', 'fees': '2.19 Lakhs'}, 'BA LLB': {'duration': '5 Years', 'fees': '5.00 Lakhs'}, 'BCA': {'duration': '3 Years', 'fees': '2.45 Lakhs'}, 'LLB': {'duration': '3 Years', 'fees': '2.75 Lakhs'}, 'M.Sc Botany': {'duration': '2 Years', 'fees': '1.93 Lakhs'}, 'M.Sc Food Technology': {'duration': '2 Years', 'fees': '2.14 Lakhs'}, 'B.Sc Education': {'duration': '3 Years', 'fees': '1.75 Lakhs'}, 'BA Education': {'duration': '3 Years', 'fees': '1.75 Lakhs'}, 'M.Sc Microbiology': {'duration': '2 Years', 'fees': '2.14 Lakhs'}, 'M.Sc Pharmaceutical Chemistry': {'duration': '2 Years', 'fees': '1.93 Lakhs'}, 'M.Sc Zoology': {'duration': '2 Years', 'fees': '1.93 Lakhs'}, 'B.Pharma Practice': {'duration': '2 Years', 'fees': '1.07 Lakhs'}, 'B.Sc Botany Hons': {'duration': '3 Years', 'fees': '2.36 Lakhs'}}","{'averagePackage': {'B.Pharma': {'2019': '144000', '2018': '132000', '2017': '280000'}, 'M.Pharma': {'2019': '204000', '2018': '380000', '2017': '360000'}, 'M.B.A': {'2019': '650000', '2018': '620000', '2017': '580000'}}, 'topRecruiters': {}}",{},
"Central University of Jammu, Jammu","Central University of Jammu (CU Jammu), Jammu was established on August 8, 2011, under the Central Universities Act, 2009 (Act No.25 of 2009 read with the Central Universities Act, 2009). The university is approved by the All India Council for Technical Education (AICTE) and recognised by the University Grants Commission (UGC). CU Jammu courses include diploma, certificate, undergraduate (B.Voc), integrated (B.Sc (Hons)-M.Sc, BA-B.Ed), postgraduate (M.Sc, M.Tech, MA, MBA, M.Ed) and doctoral (Ph.D.) programmes in various areas.",,"{'M.Ed': {'duration': '2 Years', 'fees': '22.93 K'}, 'M.Sc Environmental Sciences': {'duration': '2 Years', 'fees': '24.43 K'}, 'M.Sc Mathematics': {'duration': '2 Years', 'fees': '24.43 K'}, 'MA Hindi': {'duration': '2 Years', 'fees': '20.43 K'}, 'MA Mass Communication and New Media': {'duration': '2 Years', 'fees': '20.43 K'}, 'MA National Security Studies': {'duration': '2 Years', 'fees': '20.43 K'}, 'MA Public Policy and Public Administration': {'duration': '2 Years', 'fees': '20.43 K'}, 'MA Social Work': {'duration': '2 Years', 'fees': '20.43 K'}, 'B.Sc and M.Sc Botany Hons Integrated': {'duration': '5 Years', 'fees': '45.08 K'}, 'B.Sc and M.Sc Chemistry Hons Integrated': {'duration': '5 Years', 'fees': '45.08 K'}, 'B.Sc and M.Sc Physics Hons Integrated': {'duration': '5 Years', 'fees': '45.08 K'}, 'B.Sc and M.Sc Zoology Hons Integrated': {'duration': '5 Years', 'fees': '45.08 K'}, 'BA and B.Ed Integrated': {'duration': '4 Years', 'fees': '36.86 K'}, 'MA Economics': {'duration': '2 Years', 'fees': '20.43 K'}, 'MA English': {'duration': '2 Years', 'fees': '20.43 K'}, 'M.Sc Material Sciences and Technology': {'duration': '2 Years', 'fees': '24.43 K'}, 'MA Yoga': {'duration': '2 Years', 'fees': '20.43 K'}, 'B.Voc Banking and Financial Services': {'duration': '3 Years', 'fees': '29.95 K'}, 'B.Voc Retail Management': {'duration': '3 Years', 'fees': '29.95 K'}, 'Diploma in Beauty and Wellness': {'duration': None, 'fees': None}, 'Diploma in Beauty and Wellness Makeup': {'duration': None, 'fees': None}, 'Diploma in Retail Management': {'duration': None, 'fees': None}, 'Diploma in Yoga': {'duration': None, 'fees': None}, 'M.Tech Computer Science and Technology': {'duration': '2 Years', 'fees': '38.43 K'}, 'MBA Human Resource Management': {'duration': '2 Years', 'fees': '43.43 K'}, 'MBA Marketing Management': {'duration': '2 Years', 'fees': '43.43 K'}, 'MBA Tourism and Travel Management': {'duration': '2 Years', 'fees': '43.43 K'}, 'Diploma in Indian Scripts Brahmi and Sharda': {'duration': None, 'fees': None}, 'MBA': {'duration': '2 Years', 'fees': '43.43 K'}, 'Ph.D Hindi': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
